quantity,value,uncertainty,unit
natural_unit_of_mom.um_in_MeV/c,0.5109989461,3.1e-09,MeV/c
natural_unit_of_time,1.28808866712e-21,5.799999999999999e-31,s
natural_unit_of_velocity,299792458,0.0,m s^-1
neutron_Compton_wavelength,1.31959090481e-15,8.799999999999999e-25,m
neutron_Compton_wavelength_over_2_pi,0.21001941536e-15,1.4000000000000002e-25,m
neutron_electron_mag_mom_ratio,1.04066882e-3,2.5e-10, 
neutron_electron_mass_ratio,1838.68366158,9e-07, 
neutron_g_factor,-3.82608545,9e-07, 
neutron_gyromag_ratio,1.83247172e8,43.0,s^-1 T^-1
neutron_gyromag_ratio_over_2_pi,29.1646933,6.900000000000001e-06,MHz T^-1
neutron_mag_mom,-0.96623650e-26,2.3e-33,J T^-1
neutron_mag_mom_to_Bohr_magneton_ratio,-1.04187563e-3,2.5e-10, 
neutron_mag_mom_to_nuclear_magneton_ratio,-1.91304273,4.5e-07, 
neutron_mass,1.674927471e-27,2.0999999999999997e-35,kg
neutron_mass_energy_equivalent,1.505349739e-10,1.9e-18,J
neutron_mass_energy_equivalent_in_MeV,939.5654133,5.7999999999999995e-06,MeV
neutron_mass_in_u,1.00866491588,4.900000000000001e-10,u
neutron_molar_mass,1.00866491588e-3,4.9e-13,kg mol^-1
neutron_muon_mass_ratio,8.89248408,2e-07, 
neutron_proton_mag_mom_ratio,-0.68497934,1.6e-07, 
neutron_proton_mass_difference,2.30557377e-30,8.499999999999999e-37, 
neutron_proton_mass_difference_energy_equivalent,2.07214637e-13,7.6e-20, 
neutron_proton_mass_difference_energy_equivalent_in_MeV,1.29333205,4.8e-07, 
neutron_proton_mass_difference_in_u,0.00138844900,5.1e-10, 
neutron_proton_mass_ratio,1.00137841898,5.1e-10, 
neutron_tau_mass_ratio,0.528790,4.8e-05, 
neutron_to_shielded_proton_mag_mom_ratio,-0.68499694,1.6e-07, 
Newtonian_constant_of_gravitation,6.67408e-11,3.1e-15,m^3 kg^-1 s^-2
Newtonian_constant_of_gravitation_over_h_bar_c,6.70861e-39,3.0999999999999995e-43,(GeV/c^2)^-2
nuclear_magneton,5.050783699e-27,3.0999999999999996e-35,J T^-1
nuclear_magneton_in_eV/T,3.1524512550e-8,1.5e-17,eV T^-1
nuclear_magneton_in_inverse_meters_per_tesla,2.542623432e-2,1.6000000000000002e-10,m^-1 T^-1
nuclear_magneton_in_K/T,3.6582690e-4,2.1000000000000002e-10,K T^-1
nuclear_magneton_in_MHz/T,7.622593285,4.7000000000000004e-08,MHz T^-1
Planck_constant,6.626070040e-34,8.1e-42,J s
Planck_constant_in_eV_s,4.135667662e-15,2.4999999999999998e-23,eV s
Planck_constant_over_2_pi,1.054571800e-34,1.3000000000000002e-42,J s
Planck_constant_over_2_pi_in_eV_s,6.582119514e-16,4.0000000000000004e-24,eV s
Planck_constant_over_2_pi_times_c_in_MeV_fm,197.3269788,1.2e-06,MeV fm
Planck_length,1.616229e-35,3.799999999999999e-40,m
Planck_mass,2.176470e-8,5.099999999999999e-13,kg
Planck_mass_energy_equivalent_in_GeV,1.220910e19,290000000000000.0,GeV
Planck_temperature,1.416808e32,3.3e+27,K
Planck_time,5.39116e-44,1.2999999999999998e-48,s
proton_charge_to_mass_quotient,9.578833226e7,0.59,C kg^-1
proton_Compton_wavelength,1.32140985396e-15,6.1e-25,m
proton_Compton_wavelength_over_2_pi,0.210308910109e-15,9.7e-26,m
proton_electron_mass_ratio,1836.15267389,1.7e-07, 
proton_g_factor,5.585694702,1.7e-08, 
proton_gyromag_ratio,2.675221900e8,1.8,s^-1 T^-1
proton_gyromag_ratio_over_2_pi,42.57747892,2.9e-07,MHz T^-1
proton_mag_mom,1.4106067873e-26,9.7e-35,J T^-1
proton_mag_mom_to_Bohr_magneton_ratio,1.5210322053e-3,4.6e-12, 
proton_mag_mom_to_nuclear_magneton_ratio,2.7928473508,8.5e-09, 
proton_mag_shielding_correction,25.691e-6,1.1000000000000001e-08, 
proton_mass,1.672621898e-27,2.0999999999999997e-35,kg
proton_mass_energy_equivalent,1.503277593e-10,1.8e-18,J
proton_mass_energy_equivalent_in_MeV,938.2720813,5.7999999999999995e-06,MeV
proton_mass_in_u,1.007276466879,9.100000000000001e-11,u
proton_molar_mass,1.007276466879e-3,9.099999999999999e-14,kg mol^-1
proton_muon_mass_ratio,8.88024338,2e-07, 
proton_neutron_mag_mom_ratio,-1.45989805,3.4e-07, 
proton_neutron_mass_ratio,0.99862347844,5.1e-10, 
proton_rms_charge_radius,0.8751e-15,6.1e-18,m
proton_tau_mass_ratio,0.528063,4.8e-05, 
quantum_of_circulation,3.6369475486e-4,1.7e-13,m^2 s^-1
quantum_of_circulation_times_2,7.2738950972e-4,3.3e-13,m^2 s^-1
Rydberg_constant,10973731.568508,6.500000000000001e-05,m^-1
Rydberg_constant_times_c_in_Hz,3.289841960355e15,19000.0,Hz
Rydberg_constant_times_hc_in_eV,13.605693009,8.4e-08,eV
Rydberg_constant_times_hc_in_J,2.179872325e-18,2.7000000000000004e-26,J
Sackur_Tetrode_constant_1_K_100_kPa,-1.1517084,1.4e-06, 
Sackur_Tetrode_constant_1_K_101.325_kPa,-1.1648714,1.4e-06, 
second_radiation_constant,1.43877736e-2,8.3e-09,m K
shielded_helion_gyromag_ratio,2.037894585e8,2.7,s^-1 T^-1
shielded_helion_gyromag_ratio_over_2_pi,32.43409966,4.3e-07,MHz T^-1
shielded_helion_mag_mom,-1.074553080e-26,1.3999999999999998e-34,J T^-1
shielded_helion_mag_mom_to_Bohr_magneton_ratio,-1.158671471e-3,1.4e-11, 
shielded_helion_mag_mom_to_nuclear_magneton_ratio,-2.127497720,2.5e-08, 
shielded_helion_to_proton_mag_mom_ratio,-0.7617665603,9.2e-09, 
shielded_helion_to_shielded_proton_mag_mom_ratio,-0.7617861313,3.3e-09, 
shielded_proton_gyromag_ratio,2.675153171e8,3.3,s^-1 T^-1
shielded_proton_gyromag_ratio_over_2_pi,42.57638507,5.3e-07,MHz T^-1
shielded_proton_mag_mom,1.410570547e-26,1.8e-34,J T^-1
shielded_proton_mag_mom_to_Bohr_magneton_ratio,1.520993128e-3,1.7e-11, 
shielded_proton_mag_mom_to_nuclear_magneton_ratio,2.792775600,3e-08, 
speed_of_light_in_vacuum,299792458,0.0,m s^-1
standard_acceleration_of_gravity,9.80665,0.0,m s^-2
standard_atmosphere,101325,0.0,Pa
standard_state_pressure,100000,0.0,Pa
Stefan_Boltzmann_constant,5.670367e-8,1.3e-13,W m^-2 K^-4
tau_Compton_wavelength,0.697787e-15,6.3e-20,m
tau_Compton_wavelength_over_2_pi,0.111056e-15,1.0000000000000001e-20,m
tau_electron_mass_ratio,3477.15,0.31, 
tau_mass,3.16747e-27,2.8999999999999996e-31,kg
tau_mass_energy_equivalent,2.84678e-10,2.6e-14,J
tau_mass_energy_equivalent_in_MeV,1776.82,0.16,MeV
tau_mass_in_u,1.90749,0.00016999999999999999,u
tau_molar_mass,1.90749e-3,1.7e-07,kg mol^-1
tau_muon_mass_ratio,16.8167,0.0015, 
tau_neutron_mass_ratio,1.89111,0.00016999999999999999, 
tau_proton_mass_ratio,1.89372,0.00016999999999999999, 
Thomson_cross_section,0.66524587158e-28,9.099999999999999e-38,m^2
triton_electron_mass_ratio,5496.92153588,2.6e-07, 
triton_g_factor,5.957924920,2.8e-08, 
triton_mag_mom,1.504609503e-26,1.2e-34,J T^-1
triton_mag_mom_to_Bohr_magneton_ratio,1.6223936616e-3,7.6e-12, 
triton_mag_mom_to_nuclear_magneton_ratio,2.978962460,1.4e-08, 
triton_mass,5.007356665e-27,6.199999999999999e-35,kg
triton_mass_energy_equivalent,4.500387735e-10,5.5e-18,J
triton_mass_energy_equivalent_in_MeV,2808.921112,1.7e-05,MeV
triton_mass_in_u,3.01550071632,1.1000000000000001e-10,u
triton_molar_mass,3.01550071632e-3,1.1e-13,kg mol^-1
triton_proton_mass_ratio,2.99371703348,2.2000000000000002e-10, 
unified_atomic_mass_unit,1.660539040e-27,2e-35,kg
von_Klitzing_constant,25812.8074555,5.9e-06,ohm
weak_mixing_angle,0.2223,0.0021, 
Wien_frequency_displacement_law_constant,5.8789238e10,34000.0,Hz K^-1
Wien_wavelength_displacement_law_constant,2.8977729e-3,1.7000000000000001e-09,m K
